# barionic density (fm^{-3}), energy per unit volume (MeV/fm^{3})
1.000000000000000E-03	9.392995698945081E-01
1.666555518506169E-03	1.565410981789458E+00
2.333111037012337E-03	2.191447877681948E+00
2.999666555518506E-03	2.817379267768999E+00
3.666222074024675E-03	3.443185442411099E+00
4.332777592530843E-03	4.068852647143262E+00
4.999333111037012E-03	4.694370757987175E+00
5.665888629543181E-03	5.319732068960483E+00
6.332444148049349E-03	5.944930585648515E+00
6.998999666555518E-03	6.569961579747185E+00
7.665555185061687E-03	7.194821292202828E+00
8.332110703567855E-03	7.819506725762012E+00
8.998666222074025E-03	8.444015495435824E+00
9.665221740580194E-03	9.068345716797667E+00
1.033177725908636E-02	9.692495921230273E+00
1.099833277759253E-02	1.031646498973673E+01
1.166488829609870E-02	1.094025210065509E+01
1.233144381460487E-02	1.156385668755350E+01
1.299799933311104E-02	1.218727840506688E+01
1.366455485161721E-02	1.281051710052114E+01
1.433111037012338E-02	1.343357279049447E+01
1.499766588862955E-02	1.405644564100419E+01
1.566422140713572E-02	1.467913595075759E+01
1.633077692564189E-02	1.530164413675458E+01
1.699733244414806E-02	1.592397072196660E+01
1.766388796265422E-02	1.654611632474222E+01
1.833044348116039E-02	1.716808164934026E+01
1.899699899966656E-02	1.778986747795130E+01
1.966355451817273E-02	1.841147466336517E+01
2.033011003667889E-02	1.903290412273965E+01
2.099666555518506E-02	1.965415683190756E+01
2.166322107369123E-02	2.027523382037341E+01
2.232977659219740E-02	2.089613616684708E+01
2.299633211070357E-02	2.151686499515093E+01
2.366288762920973E-02	2.213742147055620E+01
2.432944314771590E-02	2.275780679663203E+01
2.499599866622207E-02	2.337802221212991E+01
2.566255418472824E-02	2.399806898834673E+01
2.632910970323440E-02	2.461794842660561E+01
2.699566522174057E-02	2.523766185600429E+01
2.766222074024674E-02	2.585721063147363E+01
2.832877625875291E-02	2.647659613165816E+01
2.899533177725908E-02	2.709581975740399E+01
2.966188729576524E-02	2.771488292997740E+01
3.032844281427141E-02	2.833378708969282E+01
3.099499833277758E-02	2.895253369448741E+01
3.166155385128375E-02	2.957112421867804E+01
3.232810936978991E-02	3.018956015172850E+01
3.299466488829608E-02	3.080784299728014E+01
3.366122040680225E-02	3.142597427194557E+01
3.432777592530842E-02	3.204395550456232E+01
3.499433144381459E-02	3.266178823514267E+01
3.566088696232075E-02	3.327947401413425E+01
3.632744248082692E-02	3.389701440157661E+01
3.699399799933309E-02	3.451441096648942E+01
3.766055351783926E-02	3.513166528606465E+01
3.832710903634542E-02	3.574877894503605E+01
3.899366455485159E-02	3.636575353519621E+01
3.966022007335776E-02	3.698259065471661E+01
4.032677559186393E-02	3.759929190762334E+01
4.099333111037010E-02	3.821585890334374E+01
4.165988662887626E-02	3.883229325617773E+01
4.232644214738243E-02	3.944859658489128E+01
4.299299766588860E-02	4.006477051223856E+01
4.365955318439477E-02	4.068081666464754E+01
4.432610870290093E-02	4.129673667169278E+01
4.499266422140710E-02	4.191253216588796E+01
4.565921973991327E-02	4.252820478225887E+01
4.632577525841944E-02	4.314375615806208E+01
4.699233077692561E-02	4.375918793235661E+01
4.765888629543177E-02	4.437450174588345E+01
4.832544181393794E-02	4.498969924065294E+01
4.899199733244411E-02	4.560478205977029E+01
4.965855285095028E-02	4.621975184706325E+01
5.032510836945644E-02	4.683461024696206E+01
5.099166388796261E-02	4.744935890418719E+01
5.165821940646878E-02	4.806399946357436E+01
5.232477492497495E-02	4.867853356982766E+01
5.299133044348112E-02	4.929296286730639E+01
5.365788596198728E-02	4.990728899990746E+01
5.432444148049345E-02	5.052151361078764E+01
5.499099699899962E-02	5.113563834226602E+01
5.565755251750579E-02	5.174966483555678E+01
5.632410803601196E-02	5.236359473070656E+01
5.699066355451812E-02	5.297742966639018E+01
5.765721907302429E-02	5.359117127976326E+01
5.832377459153046E-02	5.420482120629554E+01
5.899033011003663E-02	5.481838107968431E+01
5.965688562854279E-02	5.543185253167324E+01
6.032344114704896E-02	5.604523719200930E+01
6.098999666555513E-02	5.665853668813065E+01
6.165655218406130E-02	5.727175264528992E+01
6.232310770256747E-02	5.788488668625502E+01
6.298966322107363E-02	5.849794043129042E+01
6.365621873957980E-02	5.911091549803218E+01
6.432277425808597E-02	5.972381350138002E+01
6.498932977659214E-02	6.033663605338707E+01
6.565588529509830E-02	6.094938476320255E+01
6.632244081360447E-02	6.156206123693391E+01
6.698899633211064E-02	6.217466707759966E+01
6.765555185061681E-02	6.278720388501023E+01
6.832210736912298E-02	6.339967325571729E+01
6.898866288762914E-02	6.401207678291098E+01
6.965521840613531E-02	6.462441605633026E+01
7.032177392464148E-02	6.523669266226392E+01
7.098832944314765E-02	6.584890818337088E+01
7.165488496165381E-02	6.646106419866319E+01
7.232144048015998E-02	6.707316228350621E+01
7.298799599866615E-02	6.768520400940756E+01
7.365455151717232E-02	6.829719094406222E+01
7.432110703567849E-02	6.890912465127943E+01
7.498766255418465E-02	6.952100669088202E+01
7.565421807269082E-02	7.013283861868719E+01
7.632077359119699E-02	7.074462198644471E+01
7.698732910970316E-02	7.135635834174957E+01
7.765388462820932E-02	7.196804922804394E+01
7.832044014671549E-02	7.257969618453453E+01
7.898699566522166E-02	7.319130074613255E+01
7.965355118372783E-02	7.380286444343055E+01
8.032010670223400E-02	7.441438880264610E+01
8.098666222074016E-02	7.502587534557917E+01
8.165321773924633E-02	7.563732558957450E+01
8.231977325775250E-02	7.624874104744501E+01
8.298632877625867E-02	7.686012322749161E+01
8.365288429476483E-02	7.747147363340227E+01
