# barionic density (fm^{-3}), energy density (MeV/fm^{3}), pressure (MeV/fm^{3})
1.000000000000000E-03	9.399488056457163E-01	5.517489165967199E-04
1.666555518506169E-03	1.567013597825691E+00	1.191163902280822E-03
2.333111037012337E-03	2.194364678942343E+00	1.955205173888297E-03
2.999666555518506E-03	2.821949380346710E+00	2.810954581315280E-03
3.666222074024675E-03	3.449733045115772E+00	3.737436084090189E-03
4.332777592530843E-03	4.077690543196065E+00	4.719974854561510E-03
4.999333111037012E-03	4.705802562964886E+00	5.747735222005140E-03
5.665888629543181E-03	5.334053675673691E+00	6.812436974277971E-03
6.332444148049349E-03	5.962431206554042E+00	7.907607053558894E-03
6.998999666555518E-03	6.590924522639418E+00	9.028108765677350E-03
7.665555185061687E-03	7.219524557469655E+00	1.016982754586295E-02
8.332110703567855E-03	7.848223479272242E+00	1.132945194065323E-02
8.998666222074025E-03	8.477014450891428E+00	1.250431552394752E-02
9.665221740580194E-03	9.105891451172029E+00	1.369227930234876E-02
1.033177725908636E-02	9.734849138656287E+00	1.489164225204634E-02
1.099833277759253E-02	1.036388274560559E+01	1.610107170850831E-02
1.166488829609870E-02	1.099298799399738E+01	1.731954839066363E-02
1.233144381460487E-02	1.162216102796295E+01	1.854632227035289E-02
1.299799933311104E-02	1.225139835876508E+01	1.978087666250464E-02
1.366455485161721E-02	1.288069681942512E+01	2.102289866740214E-02
1.433111037012338E-02	1.351005352691139E+01	2.227225460226322E-02
1.499766588862955E-02	1.413946585039495E+01	2.352896934053201E-02
1.566422140713572E-02	1.476893138420603E+01	2.479320892759621E-02
1.633077692564189E-02	1.539844792689244E+01	2.606529863760228E-02
1.699733244414806E-02	1.602801345328757E+01	2.734557833341947E-02
1.766388796265422E-02	1.665762610940128E+01	2.863458892584956E-02
1.833044348116039E-02	1.728728418949044E+01	2.993293167693545E-02
1.899699899966656E-02	1.791698612496468E+01	3.124129192188223E-02
1.966355451817273E-02	1.854673047281929E+01	3.256043210860906E-02
2.033011003667889E-02	1.917651590545111E+01	3.389118551760494E-02
2.099666555518506E-02	1.980634120166363E+01	3.523444994374113E-02
2.166322107369123E-02	2.043620523857333E+01	3.659118304140541E-02
2.232977659219740E-02	2.106610698439661E+01	3.796239760056484E-02
2.299633211070357E-02	2.169604549201206E+01	3.934915766584508E-02
2.366288762920973E-02	2.232601989306425E+01	4.075257426495623E-02
2.432944314771590E-02	2.295602939273639E+01	4.217380289665754E-02
2.499599866622207E-02	2.358607326500263E+01	4.361403990706391E-02
2.566255418472824E-02	2.421615084824809E+01	4.507451994129135E-02
2.632910970323440E-02	2.484626154130492E+01	4.655651361578961E-02
2.699566522174057E-02	2.547640479989314E+01	4.806132547691046E-02
2.766222074024674E-02	2.610658013328804E+01	4.959029116056562E-02
2.832877625875291E-02	2.673678710130321E+01	5.114477637489071E-02
2.899533177725908E-02	2.736702531147903E+01	5.272617455036378E-02
2.966188729576524E-02	2.799729441657280E+01	5.433590572510782E-02
3.032844281427141E-02	2.862759411215186E+01	5.597541485240505E-02
3.099499833277758E-02	2.925792413436294E+01	5.764617008301701E-02
3.166155385128375E-02	2.988828425799501E+01	5.934966246996311E-02
3.232810936978991E-02	3.051867429453387E+01	6.108740377434552E-02
3.299466488829608E-02	3.114909409044770E+01	6.286092628181615E-02
3.366122040680225E-02	3.177954352555348E+01	6.467178083782306E-02
3.432777592530842E-02	3.241002251142614E+01	6.652153688576788E-02
3.499433144381459E-02	3.304053099016124E+01	6.841178113739022E-02
3.566088696232075E-02	3.367106893283016E+01	7.034411645119830E-02
3.632744248082692E-02	3.430163633839820E+01	7.232016172702631E-02
3.699399799933309E-02	3.493223323250243E+01	7.434155111446526E-02
3.766055351783926E-02	3.556285966638374E+01	7.640993240078107E-02
3.832710903634542E-02	3.619351571584548E+01	7.852696760633779E-02
3.899366455485159E-02	3.682420148023941E+01	8.069433179513749E-02
3.966022007335776E-02	3.745491708169454E+01	8.291371254820400E-02
4.032677559186393E-02	3.808566266411596E+01	8.518680979686843E-02
4.099333111037010E-02	3.871643839247987E+01	8.751533441405079E-02
4.165988662887626E-02	3.934724445197472E+01	8.990100885534434E-02
4.232644214738243E-02	3.997808104737369E+01	9.234556606973364E-02
4.299299766588860E-02	4.060894840226677E+01	9.485074907979588E-02
4.365955318439477E-02	4.123984675848912E+01	9.741831121017777E-02
4.432610870290093E-02	4.187077637546277E+01	1.000500144533784E-01
4.499266422140710E-02	4.250173752958862E+01	1.027476305767011E-01
4.565921973991327E-02	4.313273051373224E+01	1.055129396483808E-01
4.632577525841944E-02	4.376375563669284E+01	1.083477303219577E-01
4.699233077692561E-02	4.439481322268110E+01	1.112537993055702E-01
4.765888629543177E-02	4.502590361081612E+01	1.142329510334302E-01
4.832544181393794E-02	4.565702715477568E+01	1.172869974889295E-01
4.899199733244411E-02	4.628818422218608E+01	1.204177578654766E-01
4.965855285095028E-02	4.691937519435692E+01	1.236270580369127E-01
5.032510836945644E-02	4.755060046583842E+01	1.269167312588184E-01
5.099166388796261E-02	4.818186044395093E+01	1.302886165986372E-01
5.165821940646878E-02	4.881315554859509E+01	1.337445594123910E-01
5.232477492497495E-02	4.944448621172099E+01	1.372864113203761E-01
5.299133044348112E-02	5.007585287710596E+01	1.409160294759616E-01
5.365788596198728E-02	5.070725600000557E+01	1.446352768453727E-01
5.432444148049345E-02	5.133869604681882E+01	1.484460214395076E-01
5.499099699899962E-02	5.197017349480591E+01	1.523501366135127E-01
5.565755251750579E-02	5.260168883182820E+01	1.563495007281607E-01
